timestamp,move1,move2,winner
Ctest tutorial
2024-02-03T16:51:16.818Z,rock,paper,p2
2024-02-03T16:51:33.802Z,scissors,scissors,Draw
2024-02-03T16:51:51.386Z,paper,rock,p1
2024-02-03T16:52:06.866Z,paper,scissors,p2
2024-02-03T16:52:23.359Z,scissors,rock,p2
2024-02-03T16:52:43.362Z,rock,rock,Draw
2024-02-03T16:52:59.288Z,invalid,scissors,Invalid move
2024-02-03T16:53:21.524Z,scissors,paper,p1
2024-02-03T16:53:38.466Z,rock,paper,p2
2024-02-03T16:53:53.814Z,rock,scissors,p1
2024-02-03T16:54:08.912Z,scissors,paper,p1
2024-02-03T16:54:25.289Z,paper,rock,p1
C16 - tutorial
